cost	risk
0.0	586.0
2.65	582.0
3.48	580.0
6.13	576.0
5.36	576.0
8.01	572.0
8.84	570.0
17.34	559.0
11.49	566.0
19.99	555.0
11.02	570.0
3.07	582.0
6.55	575.0
8.43	570.0
16.93	559.0
14.33	564.0
22.83	551.0
11.08	566.0
19.58	555.0
11.91	564.0
20.41	553.0
17.810000000000002	558.0
26.310000000000002	545.0
14.56	560.0
23.06	549.0
28.96	544.0
30.53	544.0
31.0	542.0
19.25	557.0
33.650000000000006	541.0
35.22	541.0
37.870000000000005	540.0
44.92	539.0
44.800000000000004	539.0
51.85	538.0
36.07	540.0
43.120000000000005	539.0
43.0	539.0
50.050000000000004	538.0
38.72	539.0
45.77	538.0
45.650000000000006	538.0
52.7	537.0
42.940000000000005	539.0
49.99	538.0
49.870000000000005	538.0
56.92	537.0
25.84	549.0
14.09	564.0
22.59	553.0
29.32	544.0
17.57	559.0
26.07	548.0
41.730000000000004	539.0
48.78	538.0
48.660000000000004	538.0
55.71	537.0
59.93	537.0
