OBJECTID,os_topo_to,os_topo_ve,bha_proces,tileref,abshmin,absh2,abshmax,relh2,relhmax,bha_conf,layer,path,UID,area,Type
1243,osgb5000005105218936,2,00:00.0,NZ2060,96.5,100,100.3,3.5,3.8,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,11,Public Buildings
1313,osgb1000002310363081,2,00:00.0,NZ2060,95.9,105.3,105.8,9.4,9.9,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+15,82,Public Buildings
1388,osgb1000002310363070,1,00:00.0,NZ2060,97.1,105,106.1,7.9,9,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+15,22,Public Buildings
1704,osgb1000002310363069,1,00:00.0,NZ2060,98.8,106.9,107,8.1,8.2,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+15,5,Public Buildings
1888,osgb5000005105218934,1,00:00.0,NZ2060,95.8,100.5,100.6,4.7,4.8,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,4,Public Buildings
2707,osgb5000005105218941,2,00:00.0,NZ2060,96.1,100.2,100.6,4.1,4.5,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,36,Public Buildings
3611,osgb5000005105218933,1,00:00.0,NZ2060,96.9,99.3,100.8,2.4,3.9,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,35,Public Buildings
3665,osgb5000005105218939,1,00:00.0,NZ2060,95.9,111.1,112.2,15.2,16.3,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,17,Public Buildings
3710,osgb5000005105200066,1,00:00.0,NZ2060,96,100.4,100.6,4.4,4.6,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,12,Public Buildings
4072,osgb5000005105218935,1,00:00.0,NZ2060,96,99.5,100.8,3.5,4.8,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,64,Public Buildings
4217,osgb5000005105200069,1,00:00.0,NZ2060,96.9,98,99.8,1.1,2.9,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,24,Public Buildings
4678,osgb5000005105218937,1,00:00.0,NZ2060,96,109.8,113.2,13.8,17.2,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,69,Public Buildings
5332,osgb5000005105218940,2,00:00.0,NZ2060,95.7,103.5,115.8,7.8,20.1,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,3671,Public Buildings
5588,osgb1000002310332642,2,00:00.0,NZ2060,97,103,104,6,7,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,1.00E+15,101,Public Buildings
5932,osgb5000005105200068,1,00:00.0,NZ2060,96.9,99.2,98.3,2.3,1.4,99,buildings_nz2060,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2060.gdb|layername=buildings_nz2060,5.00E+15,12,Public Buildings
