UID,area,Type
5.00E+15,11,Public Buildings
1.00E+15,82,Public Buildings
1.00E+15,22,Public Buildings
1.00E+15,5,Public Buildings
5.00E+15,4,Public Buildings
5.00E+15,36,Public Buildings
5.00E+15,35,Public Buildings
5.00E+15,17,Public Buildings
5.00E+15,12,Public Buildings
5.00E+15,64,Public Buildings
5.00E+15,24,Public Buildings
5.00E+15,69,Public Buildings
5.00E+15,3671,Public Buildings
1.00E+15,101,Public Buildings
5.00E+15,12,Public Buildings
5.00E+15,22,Public Buildings
5.00E+15,27,Public Buildings
1.00E+15,6,Public Buildings
1.00E+15,7,Public Buildings
1.00E+12,6,Public Buildings
5.00E+15,10,Public Buildings
1.00E+12,25,Public Buildings
1.00E+12,2396,Public Buildings
1.00E+15,11,Public Buildings
1.00E+15,96,Public Buildings
1.00E+12,2,Offices
1.00E+12,3,Offices
1.00E+12,22453,Offices
1.00E+12,92,Offices
5.00E+15,68,Offices
5.00E+15,9,Offices
5.00E+15,13,Offices
5.00E+15,25,Offices
5.00E+15,10,Offices
1.00E+12,101,Offices
1.00E+12,123,Offices
5.00E+15,40,Offices
1.00E+12,1,Offices
5.00E+15,4,Offices
5.00E+15,14,Offices
5.00E+15,21,Offices
5.00E+15,108,Offices
5.00E+15,236,Offices
5.00E+15,11,Offices
5.00E+15,10,Offices
1.00E+12,56,Offices
1.00E+12,30,Offices
5.00E+15,89,Offices
5.00E+15,23,Offices
1.00E+12,12,Offices
1.00E+12,48,Offices
1.00E+12,78,Offices
1.00E+12,1097,Offices
1.00E+12,25,Offices
1.00E+12,80,Offices
5.00E+15,183,Offices
5.00E+15,11,Offices
5.00E+15,9,Offices
1.00E+12,70,Offices
5.00E+15,7,Offices
1.00E+12,14,Offices
5.00E+15,32,Offices
5.00E+15,137,Offices
1.00E+12,87,Offices
1.00E+12,128,Offices
1.00E+12,19,Offices
1.00E+12,3315,Public Buildings
1.00E+12,211,Public Buildings
5.00E+15,27,Public Buildings
1.00E+12,12,Public Buildings
1.00E+12,14,Public Buildings
5.00E+15,80,Public Buildings
1.00E+12,22,Public Buildings
5.00E+15,14,Public Buildings
1.00E+12,5,Public Buildings
1.00E+12,108,Public Buildings
5.00E+15,16,Public Buildings
1.00E+12,937,Public Buildings
1.00E+12,18,Public Buildings
1.00E+12,85,Public Buildings
5.00E+15,176,Public Buildings
5.00E+15,7,Public Buildings
1.00E+12,1,Public Buildings
1.00E+12,150,Public Buildings
5.00E+15,12,Public Buildings
1.00E+12,15,Public Buildings
5.00E+15,5,Public Buildings
1.00E+12,3,Public Buildings
1.00E+12,14,Public Buildings
1.00E+12,102,Public Buildings
5.00E+15,33,Public Buildings
1.00E+12,1126,Public Buildings
1.00E+12,1,Public Buildings
5.00E+15,27,Public Buildings
5.00E+15,19,Public Buildings
1.00E+12,3211,Public Buildings
1.00E+15,2,Public Buildings
5.00E+15,364,Public Buildings
1.00E+12,216,Public Buildings
1.00E+12,124,Public Buildings
5.00E+15,374,Public Buildings
1.00E+15,2,Public Buildings
1.00E+12,143,Public Buildings
1.00E+12,18,Public Buildings
5.00E+15,16,Public Buildings
1.00E+12,314,Public Buildings
1.00E+12,74,Public Buildings
1.00E+12,744,Public Buildings
5.00E+15,18,Public Buildings
5.00E+15,831,Public Buildings
1.00E+15,7,Public Buildings
1.00E+12,21,Public Buildings
5.00E+15,11,Public Buildings
1.00E+12,174,Public Buildings
1.00E+12,31,Public Buildings
1.00E+15,6,Public Buildings
1.00E+12,561,Public Buildings
1.00E+12,911,Public Buildings
5.00E+15,26,Public Buildings
1.00E+15,2,Public Buildings
1.00E+12,147,Public Buildings
1.00E+12,214,Public Buildings
1.00E+15,2115,Public Buildings
5.00E+15,32,Public Buildings
1.00E+12,367,Public Buildings
1.00E+12,1029,Public Buildings
5.00E+15,10,Public Buildings
1.00E+15,4,Public Buildings
1.00E+12,15,Public Buildings
1.00E+15,2,Public Buildings
5.00E+15,9,Public Buildings
5.00E+15,46,Public Buildings
1.00E+12,2970,Public Buildings
5.00E+15,17,Public Buildings
5.00E+15,20,Public Buildings
1.00E+12,1387,Public Buildings
5.00E+15,23,Public Buildings
5.00E+15,374,Public Buildings
1.00E+12,33,Public Buildings
5.00E+15,831,Public Buildings
5.00E+15,118,Public Buildings
1.00E+12,2,Public Buildings
1.00E+12,5,Public Buildings
5.00E+15,43,Public Buildings
1.00E+12,3341,Public Buildings
5.00E+15,9,Public Buildings
5.00E+15,43,Public Buildings
1.00E+15,1135,Public Buildings
1.00E+15,2,Public Buildings
1.00E+15,7,Public Buildings
5.00E+15,237,Public Buildings
1.00E+12,12,Public Buildings
1.00E+12,51,Public Buildings
1.00E+12,4,Public Buildings
1.00E+12,1246,Public Buildings
1.00E+12,5,Public Buildings
1.00E+12,12,Public Buildings
1.00E+12,3,Public Buildings
5.00E+15,780,Offices
5.00E+15,129,Public Buildings
1.00E+15,7,Public Buildings
1.00E+12,30,Public Buildings
5.00E+15,18,Public Buildings
1.00E+12,464,Public Buildings
5.00E+15,700,Public Buildings
5.00E+15,13,Public Buildings
1.00E+12,632,Public Buildings
5.00E+15,130,Public Buildings
1.00E+15,15,Public Buildings
1.00E+12,743,Public Buildings
5.00E+15,14,Public Buildings
1.00E+12,1147,Public Buildings
1.00E+12,4408,Public Buildings
5.00E+15,9,Public Buildings
5.00E+15,12,Public Buildings
5.00E+15,48,Offices
1.00E+12,627,Public Buildings
5.00E+15,123,Public Buildings
1.00E+12,8,Public Buildings
5.00E+15,44,Public Buildings
1.00E+12,4904,Public Buildings
5.00E+15,104,Offices
1.00E+12,49,Public Buildings
1.00E+12,295,Public Buildings
1.00E+12,228,Public Buildings
1.00E+15,8,Public Buildings
1.00E+12,1393,Public Buildings
5.00E+15,13,Public Buildings
1.00E+12,134,Public Buildings
5.00E+15,5,Offices
5.00E+15,8,Public Buildings
1.00E+12,6,Public Buildings
1.00E+12,975,Public Buildings
1.00E+12,287,Public Buildings
1.00E+12,110,Public Buildings
1.00E+12,12,Public Buildings
5.00E+15,98,Public Buildings
1.00E+12,576,Public Buildings
5.00E+15,18,Public Buildings
5.00E+15,9,Public Buildings
5.00E+15,6,Public Buildings
1.00E+12,5,Public Buildings
1.00E+12,1904,Public Buildings
5.00E+15,9,Public Buildings
1.00E+12,97,Public Buildings
1.00E+12,159,Public Buildings
1.00E+15,3,Public Buildings
1.00E+12,12,Public Buildings
1.00E+12,393,Public Buildings
5.00E+15,3,Public Buildings
1.00E+12,252,Public Buildings
1.00E+12,54,Public Buildings
5.00E+15,7,Public Buildings
5.00E+15,40,Public Buildings
5.00E+15,383,Public Buildings
1.00E+12,6,Public Buildings
1.00E+12,6,Public Buildings
1.00E+12,313,Public Buildings
1.00E+12,222,Public Buildings
1.00E+12,325,Public Buildings
5.00E+15,6,Public Buildings
1.00E+12,79,Public Buildings
5.00E+15,6,Public Buildings
1.00E+12,8,Public Buildings
1.00E+15,92,Public Buildings
1.00E+12,18,Public Buildings
5.00E+15,11,Public Buildings
1.00E+12,345,Public Buildings
1.00E+12,349,Offices
5.00E+15,16,Public Buildings
5.00E+15,31,Offices
1.00E+12,24,Public Buildings
5.00E+15,12,Public Buildings
1.00E+12,708,Public Buildings
1.00E+15,22,Public Buildings
1.00E+15,3,Public Buildings
1.00E+12,3188,Public Buildings
5.00E+15,12,Public Buildings
1.00E+12,195,Public Buildings
1.00E+12,17,Public Buildings
1.00E+12,2259,Public Buildings
1.00E+12,23,Public Buildings
5.00E+15,7,Public Buildings
1.00E+12,103,Public Buildings
1.00E+12,29,Public Buildings
1.00E+12,14,Public Buildings
1.00E+12,9,Public Buildings
5.00E+15,14,Public Buildings
1.00E+12,6,Public Buildings
1.00E+12,2281,Offices
1.00E+15,1261,Offices
5.00E+15,974,Public Buildings
5.00E+15,31,Offices
5.00E+15,986,Public Buildings
5.00E+15,52,Public Buildings
1.00E+12,137,Public Buildings
5.00E+15,22,Public Buildings
1.00E+12,324,Public Buildings
1.00E+12,19,Public Buildings
1.00E+12,26,Public Buildings
1.00E+12,9,Public Buildings
1.00E+12,7,Public Buildings
1.00E+12,167,Public Buildings
1.00E+12,3,Public Buildings
1.00E+12,2331,Public Buildings
1.00E+12,50,Public Buildings
1.00E+12,1869,Public Buildings
1.00E+12,10,Public Buildings
1.00E+12,8,Public Buildings
5.00E+15,9,Public Buildings
1.00E+12,113,Public Buildings
1.00E+12,15,Public Buildings
1.00E+12,1761,Public Buildings
1.00E+12,17,Public Buildings
5.00E+15,921,Offices
1.00E+12,11,Public Buildings
1.00E+12,962,Public Buildings
1.00E+15,15,Public Buildings
1.00E+12,137,Public Buildings
1.00E+12,21,Public Buildings
5.00E+15,90,Offices
5.00E+15,227,Offices
5.00E+15,79,Offices
5.00E+15,759,Offices
1.00E+12,175,Offices
5.00E+15,1021,Offices
5.00E+15,8,Offices
5.00E+15,1145,Offices
5.00E+15,330,Offices
5.00E+15,2809,Offices
1,3161,Offices
2,1537,Offices
1.00E+15,47,Offices
5.00E+15,59,Offices
1.00E+15,16,Offices
1.00E+12,3343,Offices
5.00E+15,44,Offices
1.00E+12,192,Offices
1.00E+15,85,Offices
1.00E+12,10,Offices
1.00E+12,3605,Offices
1.00E+12,3996,Offices
1.00E+12,2454,Offices
5.00E+15,4,Offices
5.00E+15,10,Offices
5.00E+15,43,Offices
5.00E+15,6,Offices
1.00E+12,57,Offices
5.00E+15,360,Offices
1.00E+12,9,Offices
1.00E+15,68,Offices
1.00E+15,73,Offices
1.00E+12,16,Offices
1.00E+15,5875,Offices
1.00E+15,58,Offices
1.00E+15,72,Offices
5.00E+15,20,Offices
5.00E+15,28,Offices
1.00E+12,1433,Offices
1.00E+12,80,Offices
1.00E+12,35,Offices
5.00E+15,11,Offices
1.00E+12,75,Offices
1.00E+12,728,Offices
1.00E+12,77,Offices
1.00E+12,229,Offices
1.00E+12,721,Offices
1.00E+12,133,Offices
5.00E+15,21,Offices
1.00E+12,4570,Offices
1.00E+12,76,Offices
1.00E+12,22,Offices
1.00E+12,144,Offices
1.00E+12,21,Offices
1.00E+12,886,Offices
1.00E+15,84,Offices
1.00E+12,55,Offices
1.00E+12,90,Offices
1.00E+15,511,Offices
1.00E+12,2991,Offices
1.00E+12,331,Offices
5.00E+15,290,Offices
1.00E+12,13,Offices
1.00E+15,148,Offices
1.00E+12,4262,Offices
1.00E+15,877,Offices
1.00E+12,15,Offices
5.00E+15,8,Offices
1.00E+15,15,Offices
1.00E+15,5,Offices
1.00E+12,16,Offices
1.00E+15,5,Offices
1.00E+12,4,Offices
1.00E+15,119,Offices
1.00E+15,26,Offices
5.00E+15,5,Offices
1.00E+12,17,Offices
1.00E+12,12,Offices
1.00E+12,12,Offices
1.00E+12,12,Offices
5.00E+15,10,Offices
1.00E+15,67,Offices
1.00E+15,4,Offices
1.00E+12,2,Offices
1.00E+12,69,Offices
1.00E+12,5,Offices
5.00E+15,14,Offices
1.00E+15,2085,Offices
1.00E+15,15,Offices
1.00E+15,5,Offices
1.00E+12,5,Offices
1.00E+12,5,Offices
5.00E+15,15,Offices
1.00E+12,8,Offices
1.00E+12,5,Offices
1.00E+15,358,Offices
1.00E+15,217,Offices
1.00E+15,8,Offices
1.00E+15,4,Offices
1.00E+15,4,Offices
1.00E+12,5,Offices
1.00E+15,1070,Offices
1.00E+12,14,Offices
1.00E+15,28,Offices
5.00E+15,14,Offices
1.00E+12,22,Offices
1.00E+12,739,Offices
1.00E+12,31,Offices
5.00E+15,20,Offices
1.00E+12,241,Offices
1.00E+12,35,Offices
1.00E+12,404,Offices
1.00E+12,15,Offices
1.00E+12,82,Offices
5.00E+15,24,Offices
1.00E+12,54,Offices
1.00E+12,3336,Offices
1.00E+12,18,Offices
1.00E+12,54,Offices
1.00E+12,960,Offices
5.00E+15,1045,Offices
1.00E+12,13,Offices
5.00E+15,17,Offices
1.00E+12,12,Offices
1.00E+12,85,Offices
1.00E+12,196,Offices
1.00E+12,33,Offices
1.00E+12,13,Offices
1.00E+15,85,Offices
5.00E+15,52,Offices
5.00E+15,14,Offices
1.00E+12,15,Offices
1.00E+12,58,Offices
5.00E+15,20,Offices
1.00E+12,386,Offices
1.00E+12,69,Offices
1.00E+12,117,Offices
1.00E+12,117,Offices
1.00E+12,31,Offices
1.00E+12,88,Offices
1.00E+12,13,Offices
5.00E+15,48,Offices
1.00E+12,333,Offices
5.00E+15,15,Offices
1.00E+12,505,Offices
1.00E+12,240,Offices
1.00E+12,125,Offices
5.00E+15,14,Offices
