ZoneID	Cost
0	23705.22
1	345827.78
2	351305.80
3	329064.99
4	325918.16
5	322338.73
6	147076.79
7	123875.01
8	103148.69
9	44532.52
10	24922.23
11	103132.75
12	100297.92
13	145315.34
14	200708.90
15	306224.22
16	270354.83
17	259732.77
18	237971.92
19	49937.46
20	139347.72
21	186427.99
22	146508.28
23	144670.68
24	160354.74
25	206445.77
26	118617.63
27	112348.85
28	250781.74
29	207172.10
30	134215.93
31	164172.74
32	209580.43
33	79323.92
34	73122.79
35	138980.53
36	197076.89
37	204189.12
38	244283.87
39	116108.10
40	168711.06
41	97407.37
42	51548.10
43	155276.31
44	318646.74
45	154906.45
46	153169.57
47	225024.16
48	196553.89
49	181865.21
50	238071.24
51	289944.13
52	237116.73
53	47832.11
54	104193.08
55	115326.44
56	101309.05
57	76163.91
58	144472.61
59	42604.13
60	32104.15
61	209225.74
62	144918.90
63	42309.56
64	172477.42
65	173898.61
66	31501.13
67	66507.42
68	166424.45
69	7650.22
70	97903.21
71	113170.65
72	16242.89
73	1349.68
74	121351.77
75	328979.78
76	150032.34
77	17886.96
78	129917.20
79	207560.99
80	245980.08
81	89154.22
82	220158.56
83	111490.99
84	6542.79
85	80572.55
86	137576.20
87	378639.88
88	95686.79
89	47636.12
90	141270.36
91	321763.83
92	161905.89
93	215166.04
94	64981.43
95	25045.46
96	61990.47
97	151047.46
98	33338.92
99	131203.16
100	83929.56
101	274396.28
102	147411.73
103	34822.59
104	27543.35
105	107431.84
106	206860.93
107	92843.23
108	271233.99
109	282772.36
110	141310.39
111	247302.26
112	259870.92
113	262712.52
114	174552.51
115	121156.64
116	138728.99
117	179670.59
118	199543.71
119	46516.96
120	125100.26
121	20079.35
122	126785.94
123	131034.33
