,UID,Type,mean_depth,p90_depth,Class,Area,FloodDmg
0,5000005105218936.0,Public Buildings,0.131,0.286,0,11,0.0
1,1000002310363081.0,Public Buildings,0.014,0.015,0,82,0.0
2,1000002310363070.0,Public Buildings,0.311,0.714,1,21,17178.0
3,1000002310363069.0,Public Buildings,0.28,0.731,1,4,3272.0
4,5000005105218934.0,Public Buildings,0.118,0.275,0,4,0.0
5,5000005105218941.0,Public Buildings,0.454,0.973,1,35,38815.0
6,5000005105218933.0,Public Buildings,0.103,0.251,0,35,0.0
7,5000005105218939.0,Public Buildings,0.173,0.173,0,17,0.0
8,5000005105200066.0,Public Buildings,0.093,0.242,0,12,0.0
9,5000005105218935.0,Public Buildings,0.038,0.111,0,63,0.0
10,5000005105200069.0,Public Buildings,0.148,0.268,0,24,0.0
11,5000005105218937.0,Public Buildings,0.034,0.101,0,68,0.0
12,5000005105218940.0,Public Buildings,0.145,0.474,1,3667,2346880.0
13,1000002310332642.0,Public Buildings,0.015,0.043,0,100,0.0
14,5000005105200068.0,Public Buildings,0.083,0.141,0,11,0.0
15,5000005105200065.0,Public Buildings,0.15,0.289,0,21,0.0
16,5000005207584860.0,Public Buildings,0.106,0.147,0,27,0.0
17,1000002310363134.0,Public Buildings,0.003,0.003,0,5,0.0
18,1000002310363133.0,Public Buildings,0.002,0.002,0,6,0.0
19,1000030011212.0,Public Buildings,0.055,0.153,0,5,0.0
20,5000005207582388.0,Public Buildings,0.059,0.126,0,10,0.0
21,1000030011208.0,Public Buildings,0.113,0.126,0,24,0.0
22,1000030011211.0,Public Buildings,0.039,0.124,0,2394,0.0
23,1000002310273097.0,Public Buildings,0.019,0.048,0,10,0.0
24,1000002310332665.0,Public Buildings,0.079,0.162,0,95,0.0
25,1000030006297.0,Offices,0.002,0.002,0,2,0.0
26,1000030005699.0,Offices,,,,3,7317.0
27,1000030005905.0,Offices,0.039,0.092,0,22435,0.0
28,1000030005702.0,Offices,0.005,0.014,0,92,0.0
29,5000005207585095.0,Offices,,,,68,165852.0
30,5000005207583650.0,Offices,0.028,0.056,0,9,0.0
31,5000005207585023.0,Offices,0.076,0.087,0,12,0.0
32,5000005207584950.0,Offices,0.009,0.017,0,25,0.0
33,5000005207582334.0,Offices,0.026,0.044,0,9,0.0
34,1000030006112.0,Offices,0.01,0.031,0,100,0.0
35,1000030005499.0,Offices,0.034,0.099,0,122,0.0
36,5000005207582713.0,Offices,0.032,0.066,0,39,0.0
37,1000030005700.0,Offices,,,,0,0.0
38,5000005207583367.0,Offices,0.003,0.004,0,4,0.0
39,5000005207582814.0,Offices,,,,14,34146.0
40,5000005239319432.0,Offices,0.246,0.313,1,20,12800.0
41,5000005207582527.0,Offices,0.023,0.044,0,107,0.0
42,5000005207582637.0,Offices,0.021,0.057,0,235,0.0
43,5000005207582277.0,Offices,,,,11,26829.0
44,5000005239319449.0,Offices,0.103,0.154,0,10,0.0
45,1000030005496.0,Offices,0.028,0.059,0,56,0.0
46,1000030005501.0,Offices,0.035,0.085,0,29,0.0
47,5000005207584899.0,Offices,0.003,0.003,0,89,0.0
48,5000005207584930.0,Offices,0.18,0.197,0,23,0.0
49,1000030006294.0,Offices,,,,12,29268.0
50,1000030005698.0,Offices,0.042,0.097,0,48,0.0
51,1000030005493.0,Offices,0.019,0.023,0,78,0.0
52,1000030005497.0,Offices,0.064,0.149,0,1096,0.0
53,1000030006300.0,Offices,0.003,0.005,0,24,0.0
54,1000030005500.0,Offices,0.041,0.113,0,79,0.0
55,5000005116523779.0,Offices,0.035,0.04,0,182,0.0
56,5000005207585488.0,Offices,,,,10,24390.0
57,5000005207582526.0,Offices,,,,8,19512.0
58,1000030005904.0,Offices,0.034,0.057,0,69,0.0
59,5000005207584935.0,Offices,0.002,0.004,0,6,0.0
60,1000030005701.0,Offices,0.021,0.04,0,14,0.0
61,5000005207583123.0,Offices,0.024,0.024,0,32,0.0
62,5000005207584912.0,Offices,,,,136,331704.0
63,1000030006299.0,Offices,0.012,0.024,0,86,0.0
64,1000030005498.0,Offices,0.024,0.024,0,127,0.0
65,1000030006301.0,Offices,0.002,0.003,0,19,0.0
66,1000030082161.0,Public Buildings,0.063,0.244,0,3311,0.0
67,1000030130368.0,Public Buildings,0.033,0.033,0,211,0.0
68,5000005205280857.0,Public Buildings,,,,27,65853.0
69,1000030082160.0,Public Buildings,,,,12,29268.0
70,1000030080449.0,Public Buildings,0.118,0.239,0,14,0.0
71,5000005107866518.0,Public Buildings,0.063,0.182,0,79,0.0
72,1000030080356.0,Public Buildings,0.008,0.015,0,22,0.0
73,5000005226258873.0,Public Buildings,0.019,0.043,0,13,0.0
74,1000030080513.0,Public Buildings,0.004,0.005,0,5,0.0
75,1000030080516.0,Public Buildings,0.024,0.062,0,107,0.0
76,5000005107866442.0,Public Buildings,0.002,0.003,0,16,0.0
77,1000030080524.0,Public Buildings,0.084,0.23,0,936,0.0
78,1000030080458.0,Public Buildings,0.082,0.209,0,18,0.0
79,1000030080450.0,Public Buildings,0.03,0.063,0,84,0.0
80,5000005107866516.0,Public Buildings,0.024,0.053,0,176,0.0
81,5000005205280041.0,Public Buildings,0.164,0.203,0,6,0.0
82,1000030080537.0,Public Buildings,0.066,0.066,0,0,0.0
83,1000030080348.0,Public Buildings,0.052,0.074,0,149,0.0
84,5000005226258878.0,Public Buildings,0.126,0.265,0,12,0.0
85,1000030080457.0,Public Buildings,0.017,0.04,0,15,0.0
86,5000005107866520.0,Public Buildings,0.017,0.039,0,5,0.0
87,1000030080350.0,Public Buildings,,,,3,7317.0
88,1000030080452.0,Public Buildings,0.141,0.267,0,13,0.0
89,1000030080522.0,Public Buildings,0.047,0.101,0,101,0.0
90,5000005107866553.0,Public Buildings,0.154,0.331,1,33,21120.0
91,1000030080528.0,Public Buildings,0.008,0.02,0,1125,0.0
92,1000030080538.0,Public Buildings,0.065,0.065,0,0,0.0
93,5000005205279706.0,Public Buildings,0.019,0.057,0,26,0.0
94,5000005226258875.0,Public Buildings,0.007,0.014,0,19,0.0
95,1000030080448.0,Public Buildings,0.043,0.194,0,3208,0.0
96,1000002310413988.0,Public Buildings,0.002,0.003,0,2,0.0
97,5000005107866551.0,Public Buildings,0.068,0.159,0,363,0.0
98,1000030080460.0,Public Buildings,0.02,0.064,0,215,0.0
99,1000030080451.0,Public Buildings,0.025,0.057,0,124,0.0
100,5000005107866519.0,Public Buildings,0.025,0.044,0,373,0.0
101,1000002310413993.0,Public Buildings,0.052,0.052,0,2,0.0
102,1000030080347.0,Public Buildings,0.06,0.108,0,142,0.0
103,1000030080455.0,Public Buildings,0.053,0.084,0,17,0.0
104,5000005205280119.0,Public Buildings,0.027,0.077,0,16,0.0
105,1000030080459.0,Public Buildings,0.055,0.089,0,313,0.0
106,1000030080523.0,Public Buildings,0.02,0.052,0,74,0.0
107,1000030080345.0,Public Buildings,0.082,0.259,0,743,0.0
108,5000005205279321.0,Public Buildings,0.003,0.004,0,17,0.0
109,5000005107866530.0,Public Buildings,0.12,0.401,1,830,531200.0
110,1000002310417622.0,Public Buildings,,,,7,17073.0
111,1000030080514.0,Public Buildings,0.007,0.02,0,21,0.0
112,5000005205280260.0,Public Buildings,0.007,0.014,0,11,0.0
113,1000030080354.0,Public Buildings,0.055,0.115,0,173,0.0
114,1000030080353.0,Public Buildings,0.036,0.066,0,30,0.0
115,1000000060918383.0,Public Buildings,0.007,0.01,0,5,0.0
116,1000030080518.0,Public Buildings,0.012,0.02,0,561,0.0
117,1000030080456.0,Public Buildings,0.017,0.055,0,910,0.0
118,5000005107866451.0,Public Buildings,0.003,0.005,0,26,0.0
119,1000002310413989.0,Public Buildings,0.001,0.001,0,2,0.0
120,1000030080525.0,Public Buildings,0.015,0.033,0,146,0.0
121,1000030080520.0,Public Buildings,0.008,0.015,0,214,0.0
122,1000002310413983.0,Public Buildings,0.107,0.228,0,2113,0.0
123,5000005107866540.0,Public Buildings,0.004,0.005,0,32,0.0
124,1000030080355.0,Public Buildings,0.022,0.064,0,366,0.0
125,1000030080453.0,Public Buildings,0.042,0.104,0,1027,0.0
126,5000005226258876.0,Public Buildings,0.026,0.068,0,10,0.0
127,1000002310417619.0,Public Buildings,0.014,0.03,0,3,0.0
128,1000030080447.0,Public Buildings,0.002,0.002,0,14,0.0
129,1000002310413990.0,Public Buildings,0.006,0.009,0,2,0.0
130,5000005226258867.0,Public Buildings,0.202,0.275,0,8,0.0
131,5000005107866532.0,Public Buildings,0.011,0.019,0,46,0.0
132,1000030080543.0,Public Buildings,0.052,0.074,0,2967,0.0
133,5000005205280097.0,Public Buildings,0.01,0.026,0,17,0.0
134,5000005107866440.0,Public Buildings,0.032,0.072,0,19,0.0
135,1000030080521.0,Public Buildings,0.036,0.12,0,1386,0.0
