XCen,YCen,Depth
421559.000,564895.000,0.006
421559.000,564899.000,0.005
421559.000,564903.000,0.005
421559.000,564963.000,0.001
421559.000,564967.000,0.002
421559.000,564971.000,0.002
421559.000,564975.000,0.002
421559.000,564979.000,0.004
421559.000,564983.000,0.001
421559.000,564987.000,0.003
421563.000,564891.000,0.005
421563.000,564895.000,0.005
421563.000,564899.000,0.010
421563.000,564903.000,0.012
421563.000,564959.000,0.001
421563.000,564963.000,0.002
421563.000,564967.000,0.009
421563.000,564971.000,0.006
421563.000,564975.000,0.005
421563.000,564979.000,0.005
421563.000,564983.000,0.007
421563.000,564987.000,0.006
421563.000,564991.000,0.007
421567.000,564887.000,0.004
421567.000,564891.000,0.004
421567.000,564895.000,0.005
421567.000,564899.000,0.005
421567.000,564903.000,0.013
421567.000,564915.000,0.001
421567.000,564919.000,0.004
421567.000,564923.000,0.006
421567.000,564927.000,0.007
421567.000,564931.000,0.009
421567.000,564935.000,0.010
421567.000,564939.000,0.010
421567.000,564943.000,0.011
421567.000,564947.000,0.008
421567.000,564951.000,0.005
421567.000,564955.000,0.004
421567.000,564959.000,0.003
421567.000,564963.000,0.010
421567.000,564967.000,0.008
421567.000,564971.000,0.007
421567.000,564975.000,0.010
421567.000,564979.000,0.007
421567.000,564983.000,0.004
421567.000,564987.000,0.005
421567.000,564991.000,0.040
421567.000,564995.000,0.027
421567.000,564999.000,0.001
421571.000,564879.000,0.002
421571.000,564883.000,0.002
421571.000,564887.000,0.003
421571.000,564891.000,0.002
421571.000,564895.000,0.004
421571.000,564899.000,0.004
421571.000,564903.000,0.132
421571.000,564915.000,0.002
421571.000,564919.000,0.002
421571.000,564923.000,0.003
421571.000,564927.000,0.003
421571.000,564931.000,0.003
421571.000,564935.000,0.003
421571.000,564939.000,0.002
421571.000,564943.000,0.003
421571.000,564947.000,0.009
421571.000,564951.000,0.012
421571.000,564955.000,0.014
421571.000,564959.000,0.015
421571.000,564963.000,0.008
421571.000,564967.000,0.005
421571.000,564971.000,0.013
421571.000,564975.000,0.007
421571.000,564979.000,0.001
421571.000,564983.000,0.001
421571.000,564987.000,0.006
421571.000,564991.000,0.094
421571.000,564995.000,0.129
421571.000,564999.000,0.114
421571.000,565003.000,0.001
421575.000,564875.000,0.002
421575.000,564879.000,0.003
421575.000,564883.000,0.003
421575.000,564887.000,0.002
421575.000,564891.000,0.003
421575.000,564895.000,0.004
421575.000,564899.000,0.002
421575.000,564903.000,0.017
421575.000,564907.000,0.093
421575.000,564911.000,0.007
421575.000,564915.000,0.002
421575.000,564919.000,0.001
421575.000,564923.000,0.001
421575.000,564927.000,0.002
421575.000,564931.000,0.002
421575.000,564935.000,0.002
421575.000,564939.000,0.003
421575.000,564943.000,0.002
421575.000,564947.000,0.002
421575.000,564951.000,0.003
421575.000,564955.000,0.003
421575.000,564959.000,0.002
421575.000,564963.000,0.005
421575.000,564967.000,0.005
421575.000,564971.000,0.010
421575.000,564975.000,0.014
421575.000,564979.000,0.002
421575.000,564983.000,0.002
421575.000,564987.000,0.002
421575.000,564991.000,0.006
421575.000,564995.000,0.001
421575.000,564999.000,0.096
421575.000,565003.000,0.136
421579.000,564875.000,0.002
421579.000,564879.000,0.003
421579.000,564883.000,0.004
421579.000,564887.000,0.004
421579.000,564891.000,0.004
421579.000,564895.000,0.003
421579.000,564899.000,0.003
421579.000,564903.000,0.526
421579.000,564907.000,0.002
421579.000,564911.000,0.002
421579.000,564915.000,0.003
421579.000,564919.000,0.001
421579.000,564923.000,0.002
421579.000,564927.000,0.002
421579.000,564931.000,0.002
421579.000,564935.000,0.003
421579.000,564939.000,0.003
421579.000,564943.000,0.003
421579.000,564947.000,0.003
421579.000,564951.000,0.002
421579.000,564955.000,0.002
421579.000,564959.000,0.003
421579.000,564963.000,0.008
421579.000,564967.000,0.011
421579.000,564971.000,0.011
421579.000,564975.000,0.024
421579.000,564979.000,0.003
421579.000,564983.000,0.001
421579.000,564987.000,0.001
421579.000,564991.000,0.004
421579.000,564995.000,0.001
421579.000,564999.000,0.002
421579.000,565003.000,0.003
421579.000,565007.000,0.005
421579.000,565011.000,0.054
421579.000,565015.000,0.127
421583.000,564871.000,0.002
421583.000,564875.000,0.003
421583.000,564879.000,0.004
421583.000,564883.000,0.004
421583.000,564887.000,0.005
421583.000,564891.000,0.005
421583.000,564895.000,0.005
421583.000,564899.000,0.005
421583.000,564903.000,0.748
421583.000,564907.000,0.002
421583.000,564911.000,0.006
421583.000,564915.000,0.004
421583.000,564919.000,0.003
421583.000,564923.000,0.002
421583.000,564927.000,0.003
421583.000,564931.000,0.006
421583.000,564935.000,0.009
421583.000,564939.000,0.007
421583.000,564943.000,0.011
421583.000,564947.000,0.008
421583.000,564951.000,0.006
421583.000,564955.000,0.005
421583.000,564959.000,0.004
421583.000,564963.000,0.003
421583.000,564967.000,0.002
421583.000,564971.000,0.015
421583.000,564975.000,0.036
421583.000,564979.000,0.003
421583.000,564983.000,0.002
421583.000,564987.000,0.002
421583.000,564991.000,0.001
421583.000,564995.000,0.001
421583.000,564999.000,0.001
421583.000,565003.000,0.002
421583.000,565007.000,0.003
421583.000,565011.000,0.003
421583.000,565015.000,0.003
421583.000,565019.000,0.071
421587.000,564871.000,0.002
421587.000,564875.000,0.003
421587.000,564879.000,0.004
421587.000,564883.000,0.005
421587.000,564887.000,0.005
421587.000,564891.000,0.011
421587.000,564895.000,0.014
421587.000,564899.000,0.016
421587.000,564903.000,0.421
421587.000,564907.000,0.086
421587.000,564911.000,0.033
421587.000,564915.000,0.004
421587.000,564919.000,0.003
421587.000,564923.000,0.001
421587.000,564927.000,0.003
421587.000,564931.000,0.003
421587.000,564935.000,0.004
421587.000,564939.000,0.009
421587.000,564943.000,0.006
421587.000,564947.000,0.011
421587.000,564951.000,0.010
421587.000,564955.000,0.008
421587.000,564959.000,0.007
421587.000,564963.000,0.005
421587.000,564967.000,0.008
421587.000,564971.000,0.008
421587.000,564975.000,0.084
421587.000,564979.000,0.004
421587.000,564983.000,0.003
421587.000,564987.000,0.002
421587.000,564991.000,0.004
421587.000,564995.000,0.001
421587.000,564999.000,0.020
421587.000,565003.000,0.003
421587.000,565007.000,0.002
421587.000,565011.000,0.002
421587.000,565015.000,0.002
421587.000,565019.000,0.004
421587.000,565023.000,0.037
421587.000,565027.000,0.056
421591.000,564871.000,0.003
421591.000,564875.000,0.004
421591.000,564879.000,0.004
421591.000,564883.000,0.005
421591.000,564887.000,0.005
421591.000,564891.000,0.006
421591.000,564895.000,0.004
421591.000,564899.000,0.002
421591.000,564903.000,0.006
421591.000,564907.000,0.003
421591.000,564911.000,0.001
421591.000,564915.000,0.131
421591.000,564919.000,0.003
421591.000,564923.000,0.001
421591.000,564927.000,0.003
421591.000,564931.000,0.003
421591.000,564935.000,0.003
421591.000,564939.000,0.002
421591.000,564943.000,0.002
421591.000,564947.000,0.002
421591.000,564951.000,0.005
421591.000,564955.000,0.007
421591.000,564959.000,0.007
421591.000,564963.000,0.006
421591.000,564967.000,0.004
421591.000,564971.000,0.007
421591.000,564975.000,0.141
421591.000,564979.000,0.004
421591.000,564983.000,0.004
421591.000,564987.000,0.004
421591.000,564991.000,0.006
421591.000,564995.000,0.004
421591.000,564999.000,0.001
421591.000,565003.000,0.001
421591.000,565007.000,0.001
421591.000,565011.000,0.004
421591.000,565015.000,0.027
421591.000,565019.000,0.013
421591.000,565023.000,0.008
421591.000,565027.000,0.012
421591.000,565031.000,0.021
421591.000,565035.000,0.054
421595.000,564867.000,0.002
421595.000,564871.000,0.003
421595.000,564875.000,0.004
421595.000,564879.000,0.004
421595.000,564883.000,0.005
421595.000,564887.000,0.008
421595.000,564891.000,0.007
421595.000,564895.000,0.006
421595.000,564899.000,0.010
421595.000,564903.000,0.011
421595.000,564907.000,0.001
421595.000,564919.000,0.017
421595.000,564923.000,0.003
421595.000,564927.000,0.002
421595.000,564931.000,0.002
421595.000,564935.000,0.002
421595.000,564939.000,0.003
421595.000,564943.000,0.004
421595.000,564947.000,0.004
421595.000,564951.000,0.010
421595.000,564955.000,0.013
421595.000,564959.000,0.016
421595.000,564963.000,0.012
421595.000,564967.000,0.009
421595.000,564971.000,0.009
421595.000,564975.000,0.123
421595.000,564979.000,0.063
421595.000,564983.000,0.006
421595.000,564987.000,0.008
421595.000,564991.000,0.003
421595.000,564995.000,0.001
421595.000,564999.000,0.002
421595.000,565003.000,0.004
421595.000,565007.000,0.001
421595.000,565011.000,0.001
421595.000,565015.000,0.012
421595.000,565019.000,0.004
421595.000,565023.000,0.008
421595.000,565027.000,0.011
421595.000,565031.000,0.018
421595.000,565035.000,0.066
421595.000,565039.000,0.127
421599.000,564867.000,0.002
421599.000,564871.000,0.003
421599.000,564875.000,0.004
421599.000,564879.000,0.005
421599.000,564883.000,0.005
421599.000,564887.000,0.011
421599.000,564891.000,0.006
421599.000,564895.000,0.006
421599.000,564899.000,0.005
421599.000,564903.000,0.013
421599.000,564907.000,0.002
421599.000,564919.000,0.008
421599.000,564923.000,0.003
421599.000,564927.000,0.002
421599.000,564931.000,0.002
421599.000,564935.000,0.003
421599.000,564939.000,0.003
421599.000,564943.000,0.005
421599.000,564947.000,0.008
421599.000,564951.000,0.006
421599.000,564955.000,0.004
421599.000,564959.000,0.003
421599.000,564963.000,0.008
421599.000,564967.000,0.016
421599.000,564971.000,0.008
421599.000,564975.000,0.093
421599.000,564979.000,0.084
421599.000,564983.000,0.005
421599.000,564987.000,0.003
421599.000,564991.000,0.006
421599.000,564995.000,0.001
421599.000,564999.000,0.003
421599.000,565003.000,0.011
421599.000,565007.000,0.009
421599.000,565011.000,0.019
421599.000,565015.000,0.014
421599.000,565019.000,0.032
421599.000,565023.000,0.002
421599.000,565027.000,0.001
421599.000,565031.000,0.001
421599.000,565035.000,0.065
421599.000,565039.000,0.122
421603.000,564867.000,0.002
421603.000,564871.000,0.003
421603.000,564875.000,0.004
421603.000,564879.000,0.005
421603.000,564883.000,0.007
421603.000,564887.000,0.009
421603.000,564891.000,0.007
421603.000,564895.000,0.007
421603.000,564899.000,0.006
421603.000,564903.000,0.050
421603.000,564907.000,0.002
421603.000,564915.000,0.004
421603.000,564919.000,0.003
421603.000,564923.000,0.005
421603.000,564927.000,0.002
421603.000,564931.000,0.003
421603.000,564935.000,0.003
421603.000,564939.000,0.004
421603.000,564943.000,0.002
421603.000,564947.000,0.003
421603.000,564951.000,0.003
421603.000,564955.000,0.006
421603.000,564959.000,0.008
421603.000,564963.000,0.014
421603.000,564967.000,0.010
421603.000,564971.000,0.015
421603.000,564975.000,0.088
421603.000,564979.000,0.104
421603.000,564983.000,0.007
421603.000,564987.000,0.008
421603.000,564991.000,0.005
421603.000,564995.000,0.011
421603.000,564999.000,0.013
421603.000,565003.000,0.001
421603.000,565007.000,0.007
421603.000,565011.000,0.016
421603.000,565015.000,0.020
421603.000,565019.000,0.003
421603.000,565023.000,0.002
421603.000,565027.000,0.005
421603.000,565031.000,0.007
421603.000,565035.000,0.050
421603.000,565039.000,0.096
421603.000,565043.000,0.160
421603.000,565047.000,0.162
421607.000,564863.000,0.002
421607.000,564867.000,0.003
421607.000,564871.000,0.004
421607.000,564875.000,0.004
421607.000,564879.000,0.005
421607.000,564883.000,0.011
421607.000,564887.000,0.010
421607.000,564891.000,0.009
421607.000,564895.000,0.018
421607.000,564899.000,0.025
421607.000,564903.000,0.044
421607.000,564907.000,0.026
421607.000,564911.000,0.025
421607.000,564915.000,0.004
421607.000,564919.000,0.002
421607.000,564923.000,0.007
421607.000,564927.000,0.001
421607.000,564931.000,0.003
421607.000,564935.000,0.004
421607.000,564939.000,0.004
421607.000,564943.000,0.004
421607.000,564947.000,0.002
421607.000,564951.000,0.002
421607.000,564955.000,0.002
421607.000,564959.000,0.001
421607.000,564963.000,0.001
421607.000,564967.000,0.003
421607.000,564971.000,0.005
421607.000,564975.000,0.057
421607.000,564979.000,0.106
421607.000,564983.000,0.005
421607.000,564987.000,0.003
421607.000,564991.000,0.002
421607.000,564995.000,0.006
421607.000,564999.000,0.002
421607.000,565003.000,0.001
421607.000,565007.000,0.002
421607.000,565011.000,0.015
421607.000,565015.000,0.005
421607.000,565019.000,0.002
421607.000,565023.000,0.002
421607.000,565027.000,0.003
421607.000,565031.000,0.003
421607.000,565035.000,0.018
421607.000,565039.000,0.036
421607.000,565043.000,0.031
421607.000,565047.000,0.060
421607.000,565051.000,0.046
421611.000,564863.000,0.002
421611.000,564867.000,0.003
421611.000,564871.000,0.004
421611.000,564875.000,0.005
421611.000,564879.000,0.005
421611.000,564883.000,0.007
421611.000,564887.000,0.008
421611.000,564891.000,0.009
421611.000,564895.000,0.010
421611.000,564899.000,0.011
421611.000,564903.000,0.009
421611.000,564907.000,0.018
421611.000,564911.000,0.030
421611.000,564915.000,0.004
421611.000,564919.000,0.003
421611.000,564923.000,0.004
421611.000,564927.000,0.003
421611.000,564931.000,0.004
421611.000,564935.000,0.004
421611.000,564939.000,0.005
421611.000,564943.000,0.005
421611.000,564947.000,0.004
421611.000,564951.000,0.004
421611.000,564955.000,0.003
421611.000,564959.000,0.003
421611.000,564963.000,0.003
421611.000,564967.000,0.003
421611.000,564971.000,0.002
421611.000,564975.000,0.020
421611.000,564979.000,0.111
421611.000,564983.000,0.007
421611.000,564987.000,0.002
421611.000,564991.000,0.001
421611.000,564995.000,0.001
421611.000,564999.000,0.001
421611.000,565003.000,0.009
421611.000,565007.000,0.010
421611.000,565011.000,0.002
421611.000,565015.000,0.002
421611.000,565019.000,0.001
421611.000,565023.000,0.002
421611.000,565027.000,0.003
421611.000,565031.000,0.003
421611.000,565035.000,0.005
421611.000,565039.000,0.003
421611.000,565043.000,0.001
421611.000,565047.000,0.001
421611.000,565051.000,0.001
421611.000,565055.000,0.002
421611.000,565059.000,0.002
421611.000,565063.000,0.002
421611.000,565067.000,0.003
421615.000,564863.000,0.002
421615.000,564867.000,0.003
421615.000,564871.000,0.004
421615.000,564875.000,0.005
421615.000,564879.000,0.009
421615.000,564883.000,0.008
421615.000,564887.000,0.009
421615.000,564891.000,0.009
421615.000,564895.000,0.011
421615.000,564899.000,0.011
421615.000,564903.000,0.006
421615.000,564907.000,0.023
421615.000,564911.000,0.025
421615.000,564915.000,0.027
421615.000,564919.000,0.004
421615.000,564923.000,0.004
421615.000,564927.000,0.002
421615.000,564931.000,0.003
421615.000,564935.000,0.004
421615.000,564939.000,0.005
421615.000,564943.000,0.005
421615.000,564947.000,0.005
421615.000,564951.000,0.005
421615.000,564955.000,0.004
421615.000,564959.000,0.005
421615.000,564963.000,0.010
421615.000,564967.000,0.008
421615.000,564971.000,0.006
421615.000,564975.000,0.009
421615.000,564979.000,0.146
421615.000,564983.000,0.002
421615.000,564987.000,0.002
421615.000,564991.000,0.002
421615.000,564995.000,0.002
421615.000,564999.000,0.020
421615.000,565003.000,0.001
421615.000,565007.000,0.003
421615.000,565011.000,0.005
421615.000,565015.000,0.001
421615.000,565019.000,0.001
421615.000,565023.000,0.001
421615.000,565027.000,0.002
421615.000,565031.000,0.001
421615.000,565035.000,0.001
421615.000,565039.000,0.001
421615.000,565043.000,0.002
421615.000,565047.000,0.002
421615.000,565051.000,0.003
421615.000,565055.000,0.003
421615.000,565059.000,0.003
421615.000,565063.000,0.003
421615.000,565067.000,0.004
421615.000,565071.000,0.003
421615.000,565075.000,0.005
421615.000,565079.000,0.003
421619.000,564847.000,0.002
421619.000,564851.000,0.008
421619.000,564855.000,0.002
421619.000,564859.000,0.001
421619.000,564863.000,0.003
421619.000,564867.000,0.004
421619.000,564871.000,0.004
421619.000,564875.000,0.005
421619.000,564879.000,0.003
421619.000,564883.000,0.007
421619.000,564887.000,0.009
421619.000,564891.000,0.019
421619.000,564895.000,0.014
421619.000,564899.000,0.012
