Feature_number	XCen	YCen	h_min	h_max	h_len	r_min	r_max	r_len	dx_min	dx_max	dx_len	dy_min	dy_max	dy_len
1	423480.9675	565021.2207	0.00	1.50	2	10.00	75.80	4	-5.00	5.00	2	-10.00	10.00	2
2	423585.0086	564871.9618	0.00	1.50	2	10.00	24.90	2	-5.00	5.00	2	-10.00	10.00	2
3	423632.2272	564870.3611	0.00	1.50	2	7.50	15.00	2	-10.00	10.00	2	-5.00	5.00	2
4	423472.164	564856.3556	0.00	1.50	2	10.00	22.40	2	-10.00	10.00	2	-10.00	10.00	2
5	423511.7796	564739.9096	0.00	1.50	2	10.00	27.30	2	-10.00	10.00	2	-10.00	10.00	2
6	423484.1687	564764.7194	0.00	1.50	2	10.00	27.30	2	-10.00	10.00	2	-10.00	10.00	2
7	423638.2796	564721.1522	0.00	1.50	2	7.50	13.00	2	-5.00	5.00	2	-5.00	5.00	2
8	423280.4827	565710.5308	0.00	1.50	2	10.00	44.14	3	-163.86	156.75	5	-30.89	29.42	4
9	423352.2063	565537.2159	0.00	1.50	2	10.00	47.89	3	-102.74	103.93	5	-31.92	33.01	4
10	423882.6707	565391.1557	0.00	1.50	2	10.00	21.63	2	-16.62	14.42	3	-70.73	73.60	5
11	422945.9987	565402.7993	0.00	1.50	2	10.00	77.58	4	-96.28	103.18	5	-51.71	53.95	4
12	422842.9994	565955.1956	0.00	1.50	2	10.00	100.70	4	-67.64	67.13	5	-85.16	79.13	5
13	423943.4295	564935.019	0.00	1.50	2	10.00	42.56	3	-73.84	73.94	5	-28.37	28.78	4
14	423996.6113	565158.1182	0.00	1.50	2	10.00	43.89	3	-29.26	29.44	4	-95.75	96.79	5
15	423261.5579	565873.7611	0.00	1.50	2	10.00	45.15	3	-32.22	32.40	4	-30.29	30.11	4
16	422860.2718	565681.6238	0.00	1.50	2	10.00	46.33	3	-105.03	102.65	5	-30.88	34.54	4
17	423403.4561	565391.7916	0.00	1.50	2	10.00	33.79	2	-28.45	28.85	4	-24.23	22.53	3
18	423221.8533	565278.9498	0.00	1.50	2	10.00	46.01	3	-42.76	43.58	4	-34.85	30.68	4
19	422951.6323	565217.2424	0.00	1.50	2	10.00	31.19	2	-157.26	147.89	5	-26.69	20.79	3
20	423965.9412	565333.5301	0.00	1.50	2	10.00	17.95	2	-26.51	26.51	4	-11.97	12.59	2
21	423174.3091	565404.5139	0.00	1.50	2	10.00	27.11	2	-18.07	18.60	3	-18.86	19.39	3
22	423079.1593	566010.8275	0.00	1.50	2	10.00	37.12	3	-28.51	29.64	4	-24.75	25.49	3
